participant,session,arm,n_cal_windows,n_test_windows,acc,f1_macro,f1_rest,f1_close,f1_open,fit_time_s,status
HS_01,healthy_01,healthy,5097,78,0.8205128205128205,0.8145380434782609,0.8478260869565216,0.7812500000000001,0.0,29.31017303466797,ok
HS_02,healthy_01,healthy,4018,42,1.0,1.0,1.0,1.0,0.0,48.94545102119446,ok
HS_03,healthy_01,healthy,4592,50,0.78,0.43820224719101125,0.8764044943820225,0.0,0.0,22.480857849121094,ok
HS_04,healthy_01,healthy,5781,54,0.8333333333333334,0.5927601809954751,1.0,0.47058823529411764,0.3076923076923077,42.05840086936951,ok
HS_05,healthy_01,healthy,4474,78,0.9102564102564102,0.6175426542997825,0.951219512195122,0.0,0.9014084507042254,33.63293099403381,ok
HS_06,healthy_01,healthy,6134,78,0.8974358974358975,0.6047619047619048,0.9285714285714286,0.8857142857142858,0.0,38.52498006820679,ok
HS_07,healthy_01,healthy,4765,70,0.8285714285714286,0.8133333333333332,0.8666666666666666,0.76,0.0,43.48492097854614,ok
HS_08,healthy_01,healthy,4240,46,0.9782608695652174,0.8962962962962964,1.0,0.888888888888889,0.8,33.08574390411377,ok
HS_09,healthy_01,healthy,5781,78,0.8333333333333334,0.5689922480620155,0.9069767441860465,0.0,0.8,39.34773802757263,ok
HS_10,healthy_01,healthy,5411,39,1.0,1.0,1.0,0.0,0.0,32.178340911865234,ok
ST_01,healthy_01,healthy,8738,73,0.6575342465753424,0.5879431022804245,0.7572815533980582,0.4186046511627907,0.0,65.70455718040466,ok
ST_01,impaired_01,impaired,10270,78,1.0,1.0,1.0,0.0,1.0,76.2248969078064,ok
ST_02,healthy_01,healthy,7198,78,0.8333333333333334,0.5689922480620155,0.9069767441860465,0.0,0.8,41.47403693199158,ok
ST_02,impaired_01,impaired,8323,82,0.8292682926829268,0.7305324238128987,0.9397590361445783,0.47058823529411764,0.7812500000000001,79.69233202934265,ok
ST_03,healthy_01,healthy,5280,50,0.94,0.6140350877192983,1.0,0.0,0.8421052631578948,44.3235719203949,ok
ST_03,impaired_01,impaired,7005,59,0.864406779661017,0.5670731707317073,0.951219512195122,0.7499999999999999,0.0,40.18508982658386,ok
ST_04,healthy_01,healthy,4900,45,0.8666666666666667,0.4642857142857143,0.9285714285714286,0.0,0.0,39.87092590332031,ok
ST_04,impaired_01,impaired,3963,44,0.8863636363636364,0.46987951807228917,0.9397590361445783,0.0,0.0,34.810426235198975,ok
ST_05,healthy_01,healthy,3453,46,1.0,1.0,1.0,1.0,0.0,46.10610580444336,ok
ST_05,impaired_01,impaired,3370,52,0.75,0.42857142857142855,0.8571428571428571,0.0,0.0,29.759843826293945,ok
ST_06,healthy_01,healthy,3939,43,0.8372093023255814,0.45569620253164556,0.9113924050632911,0.0,0.0,35.20788097381592,ok
ST_06,impaired_01,impaired,5273,72,0.5833333333333334,0.4637537239324727,0.7169811320754718,0.2105263157894737,0.0,41.834801197052,ok
ST_07,healthy_01,healthy,5720,77,0.6623376623376623,0.43083333333333335,0.8125000000000001,0.0,0.4799999999999999,50.52363109588623,ok
ST_07,impaired_01,impaired,7840,78,1.0,1.0,1.0,0.0,1.0,46.44433784484863,ok
ST_08,healthy_01,healthy,4268,39,1.0,1.0,1.0,0.0,0.0,39.300912857055664,ok
ST_08,impaired_01,impaired,5945,78,0.5897435897435898,0.3751334858886346,0.8210526315789474,0.0,0.30434782608695654,56.994154930114746,ok
ST_09,healthy_01,healthy,4965,78,0.782051282051282,0.7711820534943917,0.7213114754098361,0.8210526315789474,0.0,20.375252962112427,ok
ST_09,impaired_01,impaired,11065,63,0.6984126984126984,0.6971920060713381,0.6779661016949152,0.7164179104477612,0.0,25.229147911071777,ok
ST_10,healthy_01,healthy,4826,49,0.8775510204081632,0.75,0.9285714285714286,0.0,0.5714285714285715,45.38290190696716,ok
ST_10,impaired_01,impaired,6159,78,0.9102564102564102,0.9095277547638774,0.9176470588235294,0.0,0.9014084507042254,31.778559923171997,ok
