participant,n_sessions,acc_mean,acc_std,f1_mean,f1_rest_mean,f1_close_mean,f1_open_mean
patient1,8,0.780982905982906,0.16897141607021982,0.7609563665000745,0.9433014354066986,0.7653587360260367,0.5742089280674879
patient10,10,0.6940170940170941,0.13091780348953844,0.6768087491765887,0.8910649967003691,0.6694474760747934,0.4699137747546035
patient11,6,0.6965811965811964,0.24419627591403337,0.6355989270635064,0.4957257931941476,0.7335550063096662,0.6775159816867057
patient12,11,0.686091686091686,0.11837473596651532,0.634559533629453,0.8359515535701547,0.6817475194225353,0.3859795278956689
patient13,5,0.6188034188034187,0.1937363833969628,0.5759773274013976,0.5031435199923249,0.6667203491543918,0.5580681130574764
patient14,4,0.5705128205128205,0.21423004888024413,0.4980006117322489,0.648538961038961,0.6211442158768633,0.22431865828092246
patient15,3,0.8803418803418803,0.09856891106556234,0.877721876004174,1.0,0.840601253120897,0.7925643748916249
patient16,4,0.9188034188034188,0.04441155916843273,0.9173232214460616,1.0,0.8905655230427392,0.8614041412954456
patient17,14,0.7643467643467644,0.11416499537835949,0.7526802755387524,0.8409227153027007,0.7527794255137269,0.6643386857998291
patient18,4,0.6688034188034189,0.09082243948316283,0.6296292633882007,0.43567456479690525,0.767637173124978,0.6855760522427189
patient19,7,0.4097035040431267,0.05350167723903349,0.31808829504795844,0.1299688606367155,0.5850775308955748,0.2392184936115849
patient2,8,0.7820512820512822,0.14367402608137247,0.7426165776772045,0.9937880918893577,0.7507742848560927,0.4832873562861631
patient20,3,0.7663817663817664,0.17812534509789846,0.7609412938600258,0.8384382912684799,0.7548389188838627,0.6895466714277348
patient21,5,0.6206027890238416,0.21469760376076066,0.5707072191465731,0.6566308607700286,0.6865192945865215,0.3689715020831693
patient22,6,0.6638176638176638,0.2620277344400752,0.6327772550351364,0.5474027491617849,0.7540949350159876,0.5968340809276368
patient23,4,0.7756410256410257,0.10774543075413497,0.7363090165870496,1.0,0.743880935161463,0.46504611459968603
patient24,5,0.7145299145299144,0.13317983713355525,0.6842871486102564,0.8742453984896421,0.7054709994681282,0.4731450478729987
patient25,10,0.7162393162393161,0.10127393670836667,0.7001850292627643,0.9729108613620232,0.6600108766650168,0.4676333497612526
patient26,9,0.8005698005698005,0.12162606385262997,0.7707605859944775,0.9744344794133823,0.778640929363701,0.5592063492063493
patient27,8,0.6720085470085471,0.13605879639368648,0.6288808959245697,0.9207469445656918,0.6639437075134805,0.3019520356945368
patient28,9,0.6999050332383665,0.20727352367725183,0.6554782024345525,0.7220182536638232,0.7391695539532198,0.5052467996866141
patient29,6,0.8603988603988605,0.06613124167500468,0.8600077480461034,0.989059829059829,0.7901322267472928,0.8008311883311884
patient3,8,0.8376068376068376,0.13796773520708702,0.832807963975031,0.9380940481599274,0.8196233694006616,0.7407064743645041
patient30,4,0.7735042735042734,0.1341453830996416,0.7267510163770011,0.9967532467532467,0.7513028326807869,0.4321969696969697
patient31,8,0.5128205128205128,0.1022583966603668,0.45696894908770497,0.3687142085782426,0.6236206334778567,0.37857200520701556
patient32,14,0.8083028083028082,0.1096968756999738,0.7830153187353435,0.9887379002233805,0.7754522575785995,0.5848557984040506
patient33,8,0.7852564102564104,0.12211309454897049,0.7704372075450168,0.9209203014983475,0.7622502855541219,0.6281410355825812
patient34,8,0.6955128205128205,0.15020362289358768,0.6699672665451858,0.6939552938672657,0.7514548846342379,0.5644916211340536
patient35,8,0.7158119658119658,0.14495758172610354,0.6801168742548056,0.8438981856157137,0.7593456718360091,0.4371067653126939
patient36,6,0.6481481481481481,0.1322348644132902,0.6013664127320786,0.787878787878788,0.6511975569341584,0.36502289338328947
patient37,6,0.7336182336182336,0.1623856648441664,0.6935736420213366,0.9375984238997938,0.7385882466907961,0.4045342554734201
patient38,6,0.6324786324786325,0.16431610038561253,0.6001480996951739,0.6017738253633308,0.6462461139912322,0.5524243597309589
patient39,5,0.5743589743589743,0.13984222452813017,0.48169988664269037,0.7799200490771964,0.615153113765554,0.05002649708532061
patient4,9,0.9097815764482431,0.07681748582742316,0.9064683487433742,0.992891775853135,0.8810471316043734,0.8454661387726145
patient40,13,0.7850098619329391,0.104728245376196,0.7513410758838824,0.9990262901655307,0.7556887124510185,0.49930822503509825
patient41,5,0.6051282051282051,0.24313197352272284,0.5640998677811367,0.5897419036659542,0.6300891720365147,0.47246852764094144
