patient,cal_session,test_session,arm,is_same_session,impaired_session_distance,n_test_windows,acc,f1_macro,f1_rest,f1_close,f1_open
patient1,impaired_01,healthy_01,healthy,False,,117,0.7521367521367521,0.7183940242763772,1.0,0.4313725490196078,0.7238095238095238
patient1,impaired_01,healthy_02,healthy,False,,117,0.6837606837606838,0.6244388053874683,1.0,0.21276595744680848,0.6605504587155963
patient1,impaired_01,impaired_01,impaired,True,0.0,117,0.8376068376068376,0.8295081967213115,1.0,0.8,0.6885245901639344
patient1,impaired_01,impaired_02,impaired,False,1.0,117,0.8290598290598291,0.8289473684210527,1.0,0.736842105263158,0.7499999999999999
patient1,impaired_01,impaired_03,impaired,False,2.0,117,0.811965811965812,0.7957142857142857,1.0,0.6071428571428571,0.78
patient1,impaired_01,impaired_04,impaired,False,3.0,117,0.8034188034188035,0.7846984698469847,1.0,0.5818181818181819,0.7722772277227723
patient1,impaired_01,impaired_05,impaired,False,4.0,117,0.5384615384615384,0.5272727272727273,1.0,0.4000000000000001,0.18181818181818185
patient1,impaired_01,impaired_06,impaired,False,5.0,117,0.6153846153846154,0.6277623457446583,0.9014084507042254,0.4883720930232558,0.49350649350649345
patient2,impaired_01,healthy_01,healthy,False,,117,0.7008547008547008,0.6723672367236723,1.0,0.3636363636363636,0.6534653465346534
patient2,impaired_01,healthy_02,healthy,False,,117,0.6153846153846154,0.6148148148148148,1.0,0.4,0.4444444444444445
patient2,impaired_01,impaired_01,impaired,True,0.0,117,0.8034188034188035,0.791018696487856,1.0,0.7628865979381444,0.6101694915254238
patient2,impaired_01,impaired_02,impaired,False,1.0,117,0.6068376068376068,0.5272727272727272,1.0,0.5818181818181818,0.0
patient2,impaired_01,impaired_03,impaired,False,2.0,117,0.2222222222222222,0.15308641975308643,0.0,0.3259259259259259,0.13333333333333333
patient2,impaired_01,impaired_04,impaired,False,3.0,117,0.27350427350427353,0.14918414918414918,0.0,0.44755244755244755,0.0
patient2,impaired_01,impaired_05,impaired,False,4.0,117,0.6666666666666666,0.6353030303030303,0.44000000000000006,0.625,0.8409090909090908
patient2,impaired_01,impaired_06,impaired,False,5.0,117,0.7435897435897436,0.7482801232040428,0.8181818181818181,0.7096774193548387,0.7169811320754718
patient3,impaired_01,healthy_01,healthy,False,,117,0.7264957264957265,0.7248677248677248,1.0,0.5555555555555556,0.619047619047619
patient3,impaired_01,healthy_02,healthy,False,,117,0.5042735042735043,0.48027178924188885,0.4081632653061224,0.3255813953488372,0.7070707070707071
patient3,impaired_01,impaired_01,impaired,True,0.0,117,0.7863247863247863,0.7781191329578426,1.0,0.7311827956989246,0.6031746031746031
patient3,impaired_01,impaired_02,impaired,False,1.0,117,0.5897435897435898,0.5859753960788653,0.8181818181818181,0.5849056603773585,0.3548387096774194
patient3,impaired_01,impaired_03,impaired,False,2.0,117,0.7264957264957265,0.7257745550428477,1.0,0.5675675675675675,0.6097560975609757
patient3,impaired_01,impaired_04,impaired,False,3.0,117,0.7863247863247863,0.7756686798964626,1.0,0.5901639344262295,0.736842105263158
patient3,impaired_01,impaired_05,impaired,False,4.0,117,0.6239316239316239,0.6239316239316239,1.0,0.4358974358974359,0.4358974358974359
patient3,impaired_01,impaired_06,impaired,False,5.0,117,0.6837606837606838,0.6870219881915789,0.9736842105263158,0.5194805194805194,0.5679012345679013
patient4,impaired_01,healthy_01,healthy,False,,117,0.3333333333333333,0.22327835243686514,0.0,0.2040816326530612,0.4657534246575342
patient4,impaired_01,healthy_02,healthy,False,,117,0.3247863247863248,0.2329918571053323,0.0,0.25925925925925924,0.4397163120567376
patient4,impaired_01,impaired_01,impaired,True,0.0,117,0.8461538461538461,0.8457481872116018,1.0,0.7804878048780488,0.7567567567567569
patient4,impaired_01,impaired_02,impaired,False,1.0,117,0.5128205128205128,0.4989010989010989,1.0,0.1230769230769231,0.3736263736263737
patient4,impaired_01,impaired_03,impaired,False,2.0,117,0.4358974358974359,0.4344100197758734,1.0,0.1081081081081081,0.1951219512195122
patient4,impaired_01,impaired_04,impaired,False,3.0,117,0.5213675213675214,0.5262227885738558,0.9600000000000001,0.24657534246575344,0.37209302325581395
patient4,impaired_01,impaired_05,impaired,False,4.0,117,0.5726495726495726,0.560804062812095,0.962962962962963,0.2857142857142857,0.4337349397590362
patient4,impaired_01,impaired_06,impaired,False,5.0,117,0.5299145299145299,0.5164835164835164,1.0,0.15384615384615385,0.39560439560439564
patient4,impaired_01,impaired_07,impaired,False,6.0,117,0.4700854700854701,0.4572390572390572,1.0,0.060606060606060615,0.31111111111111117
patient5,impaired_01,healthy_01,healthy,False,,117,0.6410256410256411,0.6165154264972776,0.9736842105263158,0.2758620689655173,0.6
patient5,impaired_01,healthy_02,healthy,False,,117,0.5897435897435898,0.5760869565217391,1.0,0.25,0.4782608695652174
patient5,impaired_01,impaired_01,impaired,True,0.0,117,0.8205128205128205,0.8064859117490698,1.0,0.787878787878788,0.631578947368421
patient5,impaired_01,impaired_02,impaired,False,1.0,117,0.5470085470085471,0.5038703870387039,1.0,0.47524752475247517,0.03636363636363637
patient5,impaired_01,impaired_03,impaired,False,2.0,117,0.5726495726495726,0.5584239130434783,1.0,0.4565217391304348,0.21875
patient6,impaired_01,healthy_01,healthy,False,,117,0.6581196581196581,0.638888888888889,1.0,0.5833333333333334,0.3333333333333333
patient6,impaired_01,impaired_01,impaired,True,0.0,117,0.8205128205128205,0.8153846153846155,1.0,0.676923076923077,0.7692307692307692
patient6,impaired_01,impaired_02,impaired,False,1.0,117,0.8632478632478633,0.8617940199335549,1.0,0.7714285714285716,0.813953488372093
patient6,impaired_01,impaired_03,impaired,False,2.0,117,0.6752136752136753,0.6861111111111112,0.8857142857142858,0.5476190476190476,0.625
patient6,impaired_01,impaired_04,impaired,False,3.0,117,0.7264957264957265,0.7281385281385281,0.9870129870129869,0.5974025974025974,0.6
patient7,impaired_01,healthy_01,healthy,False,,117,0.7692307692307693,0.7503405572755418,0.9600000000000001,0.5263157894736842,0.7647058823529412
patient7,impaired_01,healthy_02,healthy,False,,117,0.6581196581196581,0.6381563763364437,0.835820895522388,0.3548387096774194,0.7238095238095238
patient7,impaired_01,impaired_01,impaired,True,0.0,117,0.905982905982906,0.9055949826704076,1.0,0.8674698795180724,0.8493150684931507
patient7,impaired_01,impaired_02,impaired,False,1.0,117,0.7777777777777778,0.7788542728301765,0.935064935064935,0.6987951807228915,0.7027027027027027
patient7,impaired_01,impaired_03,impaired,False,2.0,117,0.5128205128205128,0.48208981303512144,1.0,0.4123711340206186,0.033898305084745756
patient7,impaired_01,impaired_04,impaired,False,3.0,117,0.7094017094017094,0.7005004451812962,0.9870129870129869,0.6382978723404256,0.4761904761904762
patient7,impaired_01,impaired_05,impaired,False,4.0,117,0.5641025641025641,0.5623040105627991,1.0,0.3855421686746988,0.3013698630136986
patient7,impaired_01,impaired_06,impaired,False,5.0,117,0.48717948717948717,0.48040540540540544,0.975,0.25,0.2162162162162162
patient7,impaired_01,impaired_07,impaired,False,6.0,117,0.42735042735042733,0.41629513964438636,0.9873417721518987,0.23255813953488375,0.028985507246376812
patient7,impaired_01,impaired_08,impaired,False,7.0,117,0.5299145299145299,0.5298372513562387,1.0,0.3037974683544304,0.28571428571428575
patient7,impaired_01,impaired_09,impaired,False,8.0,117,0.5128205128205128,0.5127404241328292,1.0,0.27848101265822783,0.2597402597402597
patient8,impaired_01,healthy_01,healthy,False,,117,0.26495726495726496,0.23940405296337497,0.14285714285714288,0.3050847457627119,0.27027027027027023
patient8,impaired_01,impaired_01,impaired,True,0.0,117,0.9572649572649573,0.9570886284865491,1.0,0.9397590361445783,0.9315068493150686
patient8,impaired_01,impaired_02,impaired,False,1.0,117,0.4700854700854701,0.38555579111016886,0.0,0.7415730337078651,0.4150943396226415
patient9,impaired_01,healthy_01,healthy,False,,117,0.8717948717948718,0.8681318681318682,1.0,0.7692307692307693,0.8351648351648352
patient9,impaired_01,impaired_01,impaired,True,0.0,117,0.8803418803418803,0.8763586956521738,1.0,0.8478260869565216,0.7812500000000001
patient9,impaired_01,impaired_02,impaired,False,1.0,117,0.5897435897435898,0.529943361652507,0.9166666666666666,0.5862068965517242,0.08695652173913043
patient9,impaired_01,impaired_03,impaired,False,2.0,117,0.5641025641025641,0.5047619047619047,1.0,0.5142857142857142,0.0
patient9,impaired_01,impaired_04,impaired,False,3.0,117,0.6410256410256411,0.6290760869565217,1.0,0.5434782608695652,0.34375
patient9,impaired_01,impaired_05,impaired,False,4.0,117,0.7350427350427351,0.7143363459152933,1.0,0.6868686868686869,0.45614035087719296
patient9,impaired_01,impaired_06,impaired,False,5.0,117,0.7008547008547008,0.6666056054222386,1.0,0.6601941747572816,0.339622641509434
patient10,impaired_01,healthy_01,healthy,False,,117,0.3247863247863248,0.2569518526420596,0.0,0.3488372093023256,0.4220183486238532
patient10,impaired_01,healthy_02,healthy,False,,117,0.4358974358974359,0.43658919461038675,0.9014084507042254,0.37894736842105264,0.029411764705882353
patient10,impaired_01,impaired_01,impaired,True,0.0,117,0.6923076923076923,0.6300395256916996,1.0,0.6727272727272727,0.21739130434782608
patient10,impaired_01,impaired_02,impaired,False,1.0,117,0.5128205128205128,0.4710785551907048,0.945945945945946,0.4672897196261683,0.0
patient10,impaired_01,impaired_03,impaired,False,2.0,117,0.48717948717948717,0.47122035573122534,0.7812500000000001,0.48695652173913045,0.14545454545454548
patient10,impaired_01,impaired_04,impaired,False,3.0,117,0.5641025641025641,0.5689342382313131,0.7812500000000001,0.5321100917431193,0.3934426229508197
